arch,perturbation,perturbation_size,c_source,c_target,time_standard,time_transfer,delta_standard_lower_bound,delta_standard_upper_bound,delta_diff_transfer_lower_bound,delta_diff_transfer_upper_bound,transfer_threads,T_relax,relax_count,optimizing_intervals,encoding_skip,bound_n2_relu_using_zonotope,bound_n2_non_relu_using_zonotope,how_much_faster,solve_status_standard,solve_status_transfer
cnn1,occ,"3,3,5",0,5,134.16,126.74,8.632793,8.633531,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,no,yes,1.06x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,124.25,8.632793,8.633531,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer_no_bin+zono,yes,no,1.08x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,111.31,8.632793,8.633531,0.000000,0.676582,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.21x,OPTIMAL,INTERRUPTED
cnn1,occ,"3,3,5",0,5,134.16,88.32,8.632793,8.633531,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.1+zono,yes,no,1.52x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,85.17,8.632793,8.633531,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp,yes,no,1.58x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,81.23,8.632793,8.633531,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.0+zono,yes,no,1.65x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,80.51,8.632793,8.633531,0.000000,-0.000000,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+linkN2xpN2x,yes,no,1.67x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,80.47,8.632793,8.633531,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.67x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"3,3,5",0,5,134.16,80.02,8.632793,8.633531,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.05+zono,yes,no,1.68x,OPTIMAL,OBJECTIVE_LIMIT
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"5,5,5",0,3,42.18,31.41,12.546487,12.669380,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer,no,no,1.34x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"5,5,5",0,3,42.18,28.70,12.546487,12.669380,11.351628,11.351628,32,rga0.0,0,yes,no_n1_encoding+zono,yes,yes,1.47x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,27.92,12.546487,12.669380,11.351628,11.351628,32,rga0.0,0,yes,no_n1_encoding+zono,yes,no,1.51x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,3,42.18,26.39,12.546487,12.669380,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,no,no,1.60x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"5,5,5",0,3,42.18,26.40,12.546487,12.669380,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,no,yes,1.60x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"5,5,5",0,3,42.18,25.75,12.546487,12.669380,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,yes,1.64x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"5,5,5",0,3,42.18,25.25,12.546487,12.669380,0.000000,-0.000000,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.67x,OPTIMAL,OBJECTIVE_LIMIT
cnn1,occ,"5,5,5",0,3,42.18,6.69,12.546487,12.669380,10.659586,10.659586,32,rga0.0,0,yes,no_n1_encoding,no,no,6.30x,OPTIMAL,OPTIMAL
,,,,,,,,,,,,,,,,,,,,
cnn1,occ,"5,5,5",0,4,536.01,510.83,8.644089,8.716495,0.104624,0.105526,,rga0.0,,yes,no_n1_encoding+last_layer+zono+boundN2xpComp+linkN2xpN2x,yes,no,1.05x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,4,536.01,508.43,8.644089,8.716495,0.104624,0.105526,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.05x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,4,536.01,491.77,8.644089,8.716495,0.104624,0.105526,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.05+zono,yes,no,1.09x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,4,536.01,493.04,8.644089,8.716495,0.104624,0.105526,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.1+zono,yes,no,1.09x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,4,536.01,474.73,8.644089,8.716495,0.104624,0.105526,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.0+zono,yes,no,1.13x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,4,536.01,451.31,8.644089,8.716495,0.104624,0.105526,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono+boundN2xpComp,yes,no,1.19x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,4,536.01,437.67,8.644089,8.716495,0.104624,0.105526,32,rga0.0,0,yes,no_n1_encoding+last_layer+n1StabRelax0.5+zono,yes,no,1.22x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,4,536.01,405.30,8.644089,8.716495,0.104197,0.105069,32,rga0.0,0,yes,no_n1_encoding+last_layer,no,no,1.32x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,4,536.01,345.26,8.644089,8.716495,0.104809,0.105780,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,no,yes,1.55x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,4,536.01,339.53,8.644089,8.716495,0.104809,0.105780,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,no,no,1.58x,OPTIMAL,OPTIMAL
cnn1,occ,"5,5,5",0,4,536.01,329.34,8.644089,8.716495,0.104809,0.105780,32,rga0.0,0,yes,no_n1_encoding+last_layer+zono,yes,no,1.63x,OPTIMAL,OPTIMAL
